id,keyword
135397,monster|dna|tyrannosaurus rex|velociraptor|island
76341,future|chase|post-apocalyptic|dystopia|australia
262500,based on novel|revolution|dystopia|sequel|dystopic future
140607,android|spaceship|jedi|space opera|3d
168259,car race|speed|revenge|suspense|car
281957,father-son relationship|rape|based on novel|mountains|winter
87101,saving the world|artificial intelligence|cyborg|killer robot|future
286217,based on novel|mars|nasa|isolation|botanist
211672,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions
150540,dream|cartoon|imaginary friend|animation|kid
206647,spy|based on novel|secret agent|sequel|james bond
76757,jupiter|space|woman director|3d|interspecies romance
264660,dancing|artificial intelligence|helicopter|distrust|isolation
257344,video game|nerd|alien attack|3d|pixels
99861,marvel comic|comic|sequel|superhero|vision
273248,bounty hunter|wyoming|mountains|hangman|voice over narration
260346,revenge|murder|on the run|fugitive|framed
102899,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe
150689,cinderella|magic|fairy tale|princess|shoe
131634,revolution|strong woman|dystopia|game of death|3d
158852,inventor|apocalypse|destiny|imax|dreamer
307081,sport
254128,california|earthquake|catastrophe|disaster film|3d
216015,based on novel|billionaire|bdsm|woman director|erotic movie
318846,bank|fraud|biography|wall street|finances
177677,spy|sequel|mission
214756,sperm bank|sequel|buddy|courthouse|teddy bear
207703,spy|great britain|secret organization|secret agent|marvel comic
314365,child abuse|journalism|judge|florida|boston
294254,based on novel|resistance|maze|post-apocalyptic|dystopia
280996,london|detective|sherlock holmes
198184,artificial intelligence|android|robot|near future|robot cop
254470,music|sequel|singer|male female relationship|audition
296098,spy|cia|cold war|pilot|lawyer
257445,based on novel|magic|fantasy|family|3d
264644,based on novel|carpet|isolation|imprisonment|grandparents
339527,thriller|serial killer|psychic|fbi agent|intrigue
105864,tyrannosaurus rex|friends|animation|alternate history|dinosaur
241554,hitman|revenge|murder|on the run|mobster
167073,love triangle|based on novel|homesickness|vororte|ship
277216,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship
274854,new york|witch|uprising|witch hunter
321697,biography|computer|based on true story|father daughter relationship|apple computer
203801,spy|cold war|remake|based on tv series|buddy cop
293863,san francisco|immortality|love|forever
325348,female nudity|cyborg|nudity|murder|gore
228161,friendship|spaceship|space|alien|alien invasion
286565,friendship|high school|teen|classmate|based on young adult book
265208,gambling|bodyguard|remake
254320,dystopia
258480,gay|new york|female nudity|chicago|sex
257211,intern|woman director
253412,mountains|snow storm|hiking|snow|death
274479,biography
257088,undercover|undercover agent|extreme sports|fbi agent|3d
295964,london|cook|restaurant|diva|career
238615,lie|immortality|terminal illness|laboratory|cancer
210860,based on novel|painting|debt|art dealer|stolen painting
306819,paris|denmark|copenhagen|artist|art
201088,terrorist|technology|anti hero|hacker|computer virus
273481,mexico|cia|smoking|texas|fbi
166424,teleportation|transformation|telekinesis|portal|marvel comic
310131,witch|new england|17th century
238713,spy|cia|undercover|arms dealer|disaster
256591,seduction|con man|femme fatale|deception|con artist
249070,assassin|secret identity|intelligence|hitman|execution
205775,suicide|ocean|sea|hunger|shipwreck
334074,new year's eve|fire|showdown|terrorist|embassy
312221,underdog|sport|spin off|underground fighting|motivational speaker
271718,alcohol|one-night stand
333352,terrorist|drone|u.s. military|air force base|combat drone
276907,biography|based on true story|gangster|twins
284289,desert|hunting
266647,flying|magic|fairy tale|peter pan|mermaid
347096,sword|magic|sorcery|necromancer|woman director
308369,tattoo|high school|leukemia|friends|parody
227973,based on comic strip|family|3d|charlie brown|snoopy
321741,american football|biography|professional sports|sports injury|nfl
296100,male friendship|new york city|drug|christmas eve|childhood friend
263472,female nudity|sex|disc jockey|infidelity|rain
228205,based on novel|art student|cowboys|injury|bull riding
159824,transylvania|hotel|witch|technology|magic
333348,big family|family relationships|family|woman director|christmas
285783,1970s|skyscraper|based on true story|tightrope|planning
290764,chinese mafia|parkour|new york city|loan shark|young adult
296099,route 66|grand canyon|cow|vacation|road trip
243688,poltergeist|haunted house|remake|duringcreditsstinger
287424,post-apocalyptic|dystopia|zombies
301875,illustrator|sex scene|near future|infected|emotions
181283,murder|serial killer|military|chili|soviet union
328425,detective|stalker|gift|bully|psychological thriller
274167,daddys home
370687,sword|magic|sorcery|necromancer
