id,production_company
135397,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu
76341,Village Roadshow Pictures|Kennedy Miller Productions
262500,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel
140607,Lucasfilm|Truenorth Productions|Bad Robot
168259,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films
281957,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures
87101,Paramount Pictures|Skydance Productions
286217,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment
211672,Universal Pictures|Illumination Entertainment
150540,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures
206647,Columbia Pictures|Danjaq|B24
76757,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.
264660,DNA Films|Universal Pictures International (UPI)|Film4
257344,Columbia Pictures|Happy Madison Productions
99861,Marvel Studios|Prime Focus|Revolution Sun Studios
273248,Double Feature Films|The Weinstein Company|FilmColony
260346,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+
102899,Marvel Studios
150689,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions
131634,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force
158852,Walt Disney Pictures|Babieka|A113
307081,Escape Artists|Riche-Ludwig Productions
254128,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company
216015,Focus Features|Trigger Street Productions|Michael De Luca Productions
318846,Paramount Pictures|Plan B Entertainment|Regency Enterprises
177677,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions
214756,Universal Pictures|Media Rights Capital|Fuzzy Door Productions
207703,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions
314365,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features
294254,Gotham Group|Temple Hill Entertainment|TSG Entertainment
280996,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film
198184,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films
254470,Universal Pictures|Gold Circle Films|Brownstone Productions
296098,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions
257445,Columbia Pictures|Original Film|Scholastic Entertainment
264644,Element Pictures|No Trace Camping|A24|Duperele Films
339527,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company
105864,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
241554,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
167073,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions
277216,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz
274854,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel
321697,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360
203801,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment
293863,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity
325348,Bazelevs Production|Versus Pictures
228161,Twentieth Century Fox Film Corporation|DreamWorks Animation
286565,Fox 2000 Pictures
265208,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services
254320,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
258480,Killer Films|Film4|Number 9 Films
257211,Waverly Films|Warner Bros.
253412,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures
274479,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment
257088,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions
295964,Double Feature Films|PeaPie Films|3 Arts Entertainment
238615,Endgame Entertainment|Ram Bergman Productions
210860,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media
306819,Pretty Pictures|Working Title Films|Art̩mis Productions|Le Tax Shelter du Gouvernement F̩d̩ral de Belgique|Taxshelter. be
201088,Universal Pictures|Forward Pass|Legendary Pictures
273481,Lionsgate|Thunder Road Pictures|Black Label Media
166424,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC)
310131,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films
238713,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment
256591,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films
249070,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment
205775,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
334074,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions
312221,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions
271718,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions
333352,Entertainment One|Moonlighting Films|Raindog Films
276907,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE)
284289,Furthur Films
266647,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment
347096,Arrowstorm Entertainment
308369,Indian Paintbrush
227973,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment
321741,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company
296100,Sony Pictures|Point Grey Pictures|Good Universe
263472,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures
228205,Fox 2000 Pictures|Temple Hill Entertainment
159824,Columbia Pictures|Sony Pictures Animation
333348,Imagine Entertainment|Groundswell Productions|CBS Films
285783,TriStar Pictures|Sony Pictures Entertainment|ImageMovers
290764,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films
296099,New Line Cinema|BenderSpink|David Dobkin Productions
243688,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment
287424,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films
301875,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment
181283,Summit Entertainment|Scott Free Productions|Worldview Entertainment
328425,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films
274167,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures
370687,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films
307663,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment
309809,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films
258509,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment
298382,Amazon Studios|Film Art Media|Apollo Media
272693,Wonderland Sound and Vision|CBS Films|Vast Entertainment
283445,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One
256961,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE)
326359,Walt Disney Pictures|Walt Disney Animation Studios
254302,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen
241251,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment
292040,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures
188222,Warner Bros.|Closest to the Hole Productions
252838,Miramax Films|Screen Gems|LStar Capital
273477,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment
298312,Blumhouse Productions|Blinding Edge Pictures
